Cir [1 | 2 | 2 | 2 | 5 | 3] -> [2 | 0 | 2 | 0 | 3 | 4] -> [2 | 3 | 3 | 2 | 5 | 1] -> [3 | 0 | 3 | 0 | 5 | 3] -> [3 | 1002 | 1002 | 2 | 10 | 5] -> [1002 | 0 | 1002 | 0 | 1 | 4] -> [0.909888 | 6 | 2]
Sim 5.000000 500 500 1 100000
Fil 2.500000 0.000000 500 1000 0
1.000000e+000,2.499996e+000,2.500000e+000,1.346069e-005
1.122018e+000,2.499994e+000,2.500000e+000,1.863788e-005
1.258925e+000,2.499993e+000,2.499999e+000,2.174418e-005
1.412538e+000,2.499991e+000,2.499999e+000,2.795680e-005
1.584893e+000,2.499989e+000,2.499999e+000,3.520484e-005
1.778279e+000,2.499986e+000,2.499999e+000,4.348832e-005
1.995262e+000,2.499982e+000,2.499998e+000,5.591351e-005
2.238721e+000,2.499978e+000,2.499998e+000,7.040954e-005
2.511886e+000,2.499972e+000,2.499997e+000,8.801185e-005
2.818383e+000,2.499965e+000,2.499997e+000,1.097558e-004
3.162278e+000,2.499956e+000,2.499996e+000,1.397831e-004
3.548134e+000,2.499944e+000,2.499995e+000,1.770582e-004
3.981072e+000,2.499930e+000,2.499994e+000,2.215811e-004
4.466836e+000,2.499912e+000,2.499992e+000,2.795639e-004
5.011872e+000,2.499889e+000,2.499990e+000,3.510066e-004
5.623413e+000,2.499860e+000,2.499987e+000,4.421211e-004
6.309574e+000,2.499824e+000,2.499984e+000,5.570482e-004
7.079458e+000,2.499778e+000,2.499980e+000,7.009637e-004
7.943282e+000,2.499720e+000,2.499974e+000,8.821490e-004
8.912509e+000,2.499648e+000,2.499968e+000,1.110955e-003
1.000000e+001,2.499557e+000,2.499959e+000,1.397730e-003
1.122018e+001,2.499443e+000,2.499949e+000,1.757997e-003
1.258925e+001,2.499299e+000,2.499935e+000,2.212451e-003
1.412538e+001,2.499117e+000,2.499918e+000,2.783849e-003
1.584893e+001,2.498889e+000,2.499897e+000,3.501148e-003
1.778279e+001,2.498603e+000,2.499870e+000,4.403640e-003
1.995262e+001,2.498243e+000,2.499835e+000,5.536797e-003
2.238721e+001,2.497790e+000,2.499792e+000,6.958467e-003
2.511886e+001,2.497222e+000,2.499737e+000,8.741951e-003
2.818383e+001,2.496510e+000,2.499667e+000,1.097700e-002
3.162278e+001,2.495616e+000,2.499577e+000,1.377490e-002
3.548134e+001,2.494498e+000,2.499462e+000,1.726740e-002
3.981072e+001,2.493100e+000,2.499315e+000,2.162408e-002
4.466836e+001,2.491356e+000,2.499124e+000,2.703874e-002
5.011872e+001,2.489185e+000,2.498876e+000,3.374971e-002
5.623413e+001,2.486491e+000,2.498551e+000,4.202602e-002
6.309573e+001,2.483162e+000,2.498123e+000,5.217406e-002
7.079458e+001,2.479072e+000,2.497553e+000,6.451100e-002
7.943282e+001,2.474083e+000,2.496787e+000,7.934457e-002
8.912509e+001,2.468056e+000,2.495745e+000,9.690157e-002
1.000000e+002,2.460878e+000,2.494311e+000,1.172094e-001
1.122018e+002,2.452494e+000,2.492313e+000,1.398931e-001
1.258925e+002,2.442987e+000,2.489496e+000,1.638052e-001
1.412538e+002,2.432696e+000,2.485474e+000,1.864265e-001
1.584893e+002,2.422427e+000,2.479670e+000,2.028654e-001
1.778279e+002,2.413774e+000,2.471216e+000,2.042814e-001
1.995262e+002,2.409619e+000,2.458810e+000,1.755322e-001
2.238721e+002,2.414805e+000,2.440535e+000,9.205795e-002
2.511886e+002,2.436892e+000,2.413614e+000,-8.337009e-002
2.818383e+002,2.486613e+000,2.374183e+000,-4.018807e-001
3.162278e+002,2.577197e+000,2.317182e+000,-9.237502e-001
3.548134e+002,2.721459e+000,2.236632e+000,-1.704144e+000
3.981072e+002,2.926378e+000,2.126665e+000,-2.772627e+000
4.466836e+002,3.187186e+000,1.983519e+000,-4.119420e+000
5.011872e+002,3.485152e+000,1.808070e+000,-5.700131e+000
5.623413e+002,3.792006e+000,1.607445e+000,-7.454657e+000
6.309573e+002,4.079287e+000,1.394100e+000,-9.325804e+000
7.079458e+002,4.326962e+000,1.182340e+000,-1.126881e+001
7.943282e+002,4.526680e+000,9.843429e-001,-1.325267e+001
8.912509e+002,4.679636e+000,8.078616e-001,-1.525750e+001
1.000000e+003,4.792242e+000,6.561089e-001,-1.727126e+001
1.122018e+003,4.872395e+000,5.289313e-001,-1.928686e+001
1.258925e+003,4.927334e+000,4.242261e-001,-2.130029e+001
