Cir [1 | 2 | 2 | 2 | 2 | 2] -> [2 | 0 | 2 | 1 | 4 | 2] -> [2 | 1002 | 1002 | 2 | 4 | 2] -> [1002 | 0 | 1002 | 1 | 7 | 3] -> [0.486061 | 4 | 1]
Sim 5.000000 500 500 1 100000
Fil 2.500000 0.000000 700 750 0
1.000000e+000,2.470345e+000,2.470344e+000,-1.035439e-006
1.122018e+000,2.470345e+000,2.470344e+000,-1.553158e-006
1.258925e+000,2.470345e+000,2.470344e+000,-1.553158e-006
1.412538e+000,2.470345e+000,2.470344e+000,-1.553158e-006
1.584893e+000,2.470345e+000,2.470344e+000,-2.588597e-006
1.778279e+000,2.470345e+000,2.470344e+000,-3.106317e-006
1.995262e+000,2.470345e+000,2.470344e+000,-3.106317e-006
2.238721e+000,2.470345e+000,2.470344e+000,-5.177195e-006
2.511886e+000,2.470346e+000,2.470344e+000,-5.694915e-006
2.818383e+000,2.470346e+000,2.470344e+000,-7.765794e-006
3.162278e+000,2.470346e+000,2.470344e+000,-9.318954e-006
3.548134e+000,2.470347e+000,2.470344e+000,-1.190755e-005
3.981072e+000,2.470348e+000,2.470343e+000,-1.501387e-005
4.466836e+000,2.470348e+000,2.470343e+000,-1.863792e-005
5.011872e+000,2.470349e+000,2.470343e+000,-2.329740e-005
5.623413e+000,2.470351e+000,2.470342e+000,-3.002778e-005
6.309574e+000,2.470352e+000,2.470342e+000,-3.779359e-005
7.079458e+000,2.470355e+000,2.470341e+000,-4.763031e-005
7.943282e+000,2.470357e+000,2.470340e+000,-6.057337e-005
8.912509e+000,2.470361e+000,2.470339e+000,-7.558736e-005
1.000000e+001,2.470365e+000,2.470338e+000,-9.577861e-005
1.122018e+001,2.470370e+000,2.470336e+000,-1.190763e-004
1.258925e+001,2.470376e+000,2.470334e+000,-1.506576e-004
1.412538e+001,2.470385e+000,2.470331e+000,-1.894874e-004
1.584893e+001,2.470395e+000,2.470328e+000,-2.381542e-004
1.778279e+001,2.470408e+000,2.470323e+000,-2.992470e-004
1.995262e+001,2.470425e+000,2.470318e+000,-3.779434e-004
2.238721e+001,2.470446e+000,2.470311e+000,-4.752794e-004
2.511886e+001,2.470472e+000,2.470302e+000,-5.985042e-004
2.818383e+001,2.470505e+000,2.470291e+000,-7.517610e-004
3.162278e+001,2.470547e+000,2.470278e+000,-9.479959e-004
3.548134e+001,2.470600e+000,2.470260e+000,-1.193943e-003
3.981072e+001,2.470666e+000,2.470238e+000,-1.503587e-003
4.466836e+001,2.470749e+000,2.470211e+000,-1.892988e-003
5.011872e+001,2.470854e+000,2.470176e+000,-2.382354e-003
5.623413e+001,2.470985e+000,2.470133e+000,-2.997595e-003
6.309573e+001,2.471151e+000,2.470078e+000,-3.773441e-003
7.079458e+001,2.471360e+000,2.470009e+000,-4.750857e-003
7.943282e+001,2.471623e+000,2.469922e+000,-5.980164e-003
8.912509e+001,2.471954e+000,2.469813e+000,-7.527276e-003
1.000000e+002,2.472371e+000,2.469676e+000,-9.473734e-003
1.122018e+002,2.472895e+000,2.469502e+000,-1.192297e-002
1.258925e+002,2.473554e+000,2.469285e+000,-1.500403e-002
1.412538e+002,2.474384e+000,2.469010e+000,-1.888258e-002
1.584893e+002,2.475427e+000,2.468666e+000,-2.375695e-002
1.778279e+002,2.476739e+000,2.468231e+000,-2.988701e-002
1.995262e+002,2.478389e+000,2.467685e+000,-3.759259e-002
2.238721e+002,2.480461e+000,2.466998e+000,-4.727297e-002
2.511886e+002,2.483065e+000,2.466134e+000,-5.943047e-002
2.818383e+002,2.486335e+000,2.465047e+000,-7.468694e-002
3.162278e+002,2.490436e+000,2.463681e+000,-9.381755e-002
3.548134e+002,2.495577e+000,2.461965e+000,-1.177830e-001
3.981072e+002,2.502013e+000,2.459809e+000,-1.477665e-001
